# LET [MeV/cm], E [MeV], beta 
48.083,9.39214,0.140943
47.9801,9.41704,0.141127
47.8777,9.44194,0.14131
47.7757,9.46685,0.141494
47.6743,9.49175,0.141677
47.5733,9.51665,0.14186
47.4728,9.54155,0.142042
47.3727,9.56646,0.142225
47.2731,9.59136,0.142407
47.174,9.61626,0.142589
47.0754,9.64116,0.142771
46.9771,9.66607,0.142952
46.8794,9.69097,0.143133
46.7821,9.71587,0.143314
46.6852,9.74077,0.143495
46.5888,9.76568,0.143675
46.4928,9.79058,0.143855
46.3972,9.81548,0.144035
46.3021,9.84038,0.144215
46.2074,9.86529,0.144395
46.1132,9.89019,0.144574
46.0193,9.91509,0.144753
45.9259,9.93999,0.144932
45.8329,9.9649,0.14511
45.7403,9.9898,0.145289
45.6481,10.0147,0.145467
45.5564,10.0396,0.145645
45.465,10.0645,0.145822
45.3741,10.0894,0.146
45.2835,10.1143,0.146177
45.1933,10.1392,0.146354
45.1036,10.1641,0.146531
45.0142,10.189,0.146707
44.9252,10.2139,0.146883
44.8366,10.2388,0.147059
44.7484,10.2637,0.147235
44.6606,10.2886,0.147411
44.5732,10.3135,0.147586
44.4861,10.3384,0.147761
44.3994,10.3633,0.147936
44.3131,10.3882,0.148111
44.2271,10.4131,0.148285
44.1416,10.438,0.14846
44.0563,10.4629,0.148634
43.9715,10.4878,0.148807
43.887,10.5128,0.148981
43.8029,10.5377,0.149154
43.7191,10.5626,0.149328
43.6356,10.5875,0.149501
43.5526,10.6124,0.149673
43.4698,10.6373,0.149846
43.3875,10.6622,0.150018
43.3054,10.6871,0.15019
43.2237,10.712,0.150362
43.1424,10.7369,0.150534
43.0613,10.7618,0.150705
42.9807,10.7867,0.150877
42.9003,10.8116,0.151048
42.8203,10.8365,0.151219
42.7406,10.8614,0.151389
42.6612,10.8863,0.15156
42.5822,10.9112,0.15173
42.5035,10.9361,0.1519
42.4251,10.961,0.15207
42.347,10.9859,0.15224
42.2692,11.0108,0.152409
42.1918,11.0357,0.152578
42.1147,11.0606,0.152747
42.0378,11.0855,0.152916
41.9613,11.1104,0.153085
41.8851,11.1353,0.153253
41.8092,11.1602,0.153421
41.7336,11.1851,0.153589
41.6583,11.21,0.153757
41.5833,11.2349,0.153925
41.5086,11.2598,0.154092
41.4342,11.2847,0.15426
41.3601,11.3096,0.154427
41.2863,11.3345,0.154594
41.2128,11.3594,0.15476
41.1396,11.3843,0.154927
41.0666,11.4092,0.155093
40.9939,11.4341,0.155259
40.9216,11.459,0.155425
40.8495,11.4839,0.155591
40.7776,11.5089,0.155756
40.7061,11.5338,0.155922
40.6348,11.5587,0.156087
40.5639,11.5836,0.156252
40.4931,11.6085,0.156416
40.4227,11.6334,0.156581
40.3525,11.6583,0.156745
40.2826,11.6832,0.15691
40.213,11.7081,0.157074
40.1436,11.733,0.157238
40.0745,11.7579,0.157401
40.0057,11.7828,0.157565
39.9371,11.8077,0.157728
39.8688,11.8326,0.157891
39.8007,11.8575,0.158054
